' '         = 00
MUS_THPPME_347_WIND_GOD_GIRL               = 5B 01
MUS_THPPME_349_SHANGHAI_ALICE_OF_MEIJI_17  = 5D 01
MUS_THPPME_350_SEPTETTE                    = 5E 01
MUS_THPPME_351_LOCKED_GIRL                 = 5F 01
MUS_THPPME_352_MEGAMARI_OPENING            = 60 01
MUS_THPPME_353_PHANTOM_ENSEMBLE            = 61 01
MUS_THPPME_354_PHANTOM_ENSEMBLE            = 62 01
MUS_THPPME_355_DEEP_MOUNTAIN               = 63 01
MUS_THPPME_356_CANDID_FRIEND               = 64 01
MUS_THPPME_357_ALICE_IN_WONDERLAND         = 65 01
MUS_THPPME_358_WITCHES_BALL                = 66 01
MUS_THPPME_359_MEGAMARI_OPENING            = 67 01
MUS_THPPME_360_GRIMOIRE_OF_ALICE           = 68 01
MUS_THPPME_361_REINCARNATION               = 69 01
MUS_THPPME_362_FAITH_IS_FOR_THE_TRANSIENT_PEOPLE = 6A 01
MUS_THPPME_363_INVISIBLE_FULL_MOON         = 6B 01
MUS_THPPME_364_NUCLEAR_FUSION              = 6C 01
MUS_THPPME_365_LOST_PLACE                  = 6D 01
MUS_THPPME_366_SAKE_DISH                   = 6E 01
MUS_THPPME_367_YOUNG_GIRL_AND_OLD_MAN      = 6F 01
MUS_THPPME_368_WIND_GOD_GIRL               = 70 01
MUS_THPPME_369_LOVE_CONSULTATION           = 71 01
MUS_THPPME_370_FLY_ABOVE_HATOYAMA          = 72 01
MUS_THPPME_381_HERMIT_AND_JIANGSHI         = 7D 01
MUS_THPPME_382_UNKNOWN_WAS_HER             = 7E 01
MUS_THPPME_383_MASTER_SPARK                = 7F 01
MUS_THPPME_384_CENTENNIAL_FESTIVAL         = 80 01
MUS_THPPME_385_DOLL_MAKER                  = 81 01
MUS_THPPME_386_LOVE_CONSULTATION           = 82 01
MUS_THPPME_387_CHINESE_TEA                 = 83 01
MUS_THPPME_388_UNKNOWN_X                   = 84 01
MUS_THPPME_389_REIMU_MEDLEY                = 85 01
MUS_THPPME_390_GREEN_EYED_JEALOUSY         = 86 01
MUS_THPPME_391_YUUKA_MEDLEY                = 87 01
MUS_THPPME_392_ROMANTIC_FALL               = 88 01
MUS_THPPME_393_DIMENSION_OF_REVERIE        = 89 01
MUS_THPPME_394_ALICE_MAESTRA               = 8A 01
MUS_THPPME_395_NIGHT_BIRD                  = 8B 01
MUS_THPPME_396_EXTEND_ASH                  = 8C 01
MUS_THPPME_397_FLOWERING_NIGHT             = 8D 01
MUS_THPPME_398_DEMYSTIFY_FEAST             = 8E 01
MUS_THPPME_399_FLOWER_LAND                 = 8F 01
MUS_THPPME_400_RIVERSIDE_VIEW              = 90 01
MUS_THPPME_401_SWIFT_BATTLE                = 91 01
MUS_THPPME_402_PRIMAL_SCENE                = 92 01
MUS_THPPME_403_GROUND_WATER                = 93 01
MUS_THPPME_404_THIRD_EYE                   = 94 01
MUS_THPPME_405_SHRINE_OF_THE_WIND          = 95 01
MUS_THPPME_406_BORDER_OF_LIFE              = 96 01
MUS_THPPME_407_CURIOUSITY                  = 97 01
MUS_THPPME_408_LEGEND_OF_KAGE              = 98 01
MUS_THPPME_409_LEGENDARY_FISH              = 99 01
MUS_THPPME_410_HINA_MEDLEY                 = 9A 01
MUS_THPPME_411_LAST_REMOTE                 = 9B 01
MUS_THPPME_412_CASKET_OF_STAR              = 9C 01
MUS_THPPME_413_SLEEPLESS_NIGHT_IN_KYOTO    = 9D 01
MUS_THPPME_414_DESIRE_DRIVE                = 9E 01
MUS_THPPME_415_MARISA_MEDLEY               = 9F 01
MUS_THPPME_416_CRYSTALIZED_SILVER          = A0 01
MUS_THPPME_417_GARDENER_AND_MISTRESS       = A1 01
MUS_THPPME_418_UNKNOWN_WAS_HER             = A2 01
MUS_THPPME_419_YOUKAI_MODERN_COLONY        = A3 01
MUS_THPPME_420_ANCIENTS                    = A4 01
MUS_THPPME_421_GRAVE_OF_BEING              = A5 01
MUS_THPPME_422_COLORFUL_PATH_HM_MIX        = A6 01
MUS_THPPME_423_MAGUS_NIGHT                 = A7 01
MUS_THPPME_424_TRUE_ADMINISTRATOR_HM_MIX   = A8 01
MUS_THPPME_425_BLADE_OF_BANISHMENT         = A9 01
MUS_THPPME_426_WINDS_OF_TIME               = AA 01
MUS_THPPME_427_IMPERISHABLE_NIGHT          = AB 01
MUS_THPPME_428_POSITIVE_AND_NEGATIVE       = AC 01
MUS_THPPME_429_SWORDMAN                    = AD 01
MUS_THPPME_430_ANGELS_LEGEND               = AE 01
MUS_THPPME_431_MAGIC_MIRROR                = AF 01
MUS_THPPME_432_FAIRY_WAR                   = B0 01
MUS_THPPME_433_INFINITE_CORRIDOR           = B1 01
MUS_THPPME_434_BELOVED_TOMBOYISH_GIRL      = B2 01
MUS_THPPME_435_MAGICIAN_OF_THE_EVENING_DARKNESS = B3 01
MUS_THPPME_436_SELENES_LIGHT               = B4 01
MUS_THPPME_437_MASTER_SPARK_GBC_STYLE      = B5 01
MUS_THPPME_438_MERMAID                     = B6 01
MUS_THPPME_439_HARTMANNS_HM_MIX            = B7 01
MUS_THPPME_440_DULLAHAN                    = B8 01
MUS_THPPME_441_WONDERFUL_HEAVEN            = B9 01
MUS_THPPME_442_IMMORTAL_SMOKE              = BA 01
MUS_THPPME_443_CLEVER_COMMANDER            = BB 01
MUS_THPPME_444_NATIVE_FAITH                = BC 01
MUS_THPPME_445_MISSING_POWER               = BD 01
MUS_THPPME_446_DOLL_JUDGEMENT              = BE 01
MUS_THPPME_447_PRISTINE_BEAT               = BF 01
MUS_THPPME_448_MISTY_LAKE                  = C0 01
MUS_THPPME_449_STRAWBERRY_CRISIS           = C1 01
MUS_THPPME_450_COMPLETE_DARKNESS           = C2 01
MUS_THPPME_451_STARRY_SKY                  = C3 01
MUS_THPPME_452_REVERSE_IDEOLOGY            = C4 01
MUS_THPPZGSK_263A_EVO_START                = C5 01
MUS_THPPZGSK_264A_BOKURA_NO_HISOUTENSOKU   = C6 01
MUS_THPPZGSK_273A_CURIOUS                  = C7 01
MUS_THPPZGSK_274A_DARK_ROAD                = C8 01
MUS_THPPZGSK_274B_DARK_ROAD                = C9 01
MUS_THPPZGSK_275A_COSMIC_MIND              = CA 01
MUS_THPPZGSK_276A_DEAF_TO_ALL_BUT_THE_SONG = CB 01
MUS_THPPZGSK_277A_IMPERISHABLE_NIGHT       = CC 01
MUS_THPPZGSK_278A_DREAM_BATTLE             = CD 01
MUS_THPPZGSK_279A_HELLFIRE_MANTLE          = CE 01
MUS_THPPZGSK_280A_ULTIMATE_TRUTH           = CF 01
MUS_THPPZGSK_280B_ULTIMATE_TRUTH           = D0 01
MUS_THPPZGSK_282A_WIND_GOD_GIRL            = D1 01
MUS_THPPZGSK_283A_LOST_PLACE               = D2 01
MUS_THPPZGSK_284A_SAKE_DISH                = D3 01
MUS_THPPZGSK_285A_YOUNG_GIRL_AND_OLD_MAN   = D4 01
MUS_THPPZGSK_286A_FORGATHERING_DREAM       = D5 01
MUS_THPPZGSK_287A_DEAF_TO_ALL_BUT_THE_SONG = D6 01
MUS_THPPZGSK_287B_DEAF_TO_ALL_BUT_THE_SONG = D7 01
MUS_THPPZGSK_288A_THE_BRIDGE               = D8 01
MUS_THPPZGSK_289A_THIRD_EYE                = D9 01
MUS_THPPZGSK_290A_CREDITS_MEDLEY           = DA 01
MUS_THPPZGSK_291A_RED_SOUL                 = DB 01
MUS_THPPZGSK_291B_RED_SOUL                 = DC 01
MUS_THPPZGSK_292A_INNOCENT_TREASURE        = DD 01
MUS_THPPZGSK_293A_LUNATE_ELF               = DE 01
MUS_THPPZGSK_293B_LUNATE_ELF               = DF 01
MUS_THPPZGSK_294A_GENSOKYO_THE_GOD_LOVED   = E0 01
MUS_THPPZGSK_294B_GENSOKYO_THE_GOD_LOVED   = E1 01
MUS_THPPZGSK_295A_SEPTETTE                 = E2 01
MUS_THPPZGSK_296A_TEPES_SEPTETTE           = E3 01
MUS_THPPZGSK_297A_MASTER_SPARK             = E4 01
MUS_THPPZGSK_297B_FAITH_IS_FOR_THE_TRANSIENT_PEOPLE = E5 01
MUS_THPPZGSK_298A_DOLL_JUDGEMENT           = E6 01
MUS_THPPZGSK_299A_NECROFANTASIA            = E7 01
MUS_THPPZGSK_300A_COLORFUL_PATH            = E8 01
MUS_THPPZGSK_300B_COLORFUL_PATH            = E9 01
MUS_THPPZGSK_301A_PLAIN_ASIA               = EA 01
MUS_THPPZGSK_301B_PLAIN_ASIA               = EB 01
MUS_THPPZGSK_302A_SCARLET_BEYOND           = EC 01
MUS_THPPZGSK_303A_HISTORY_OF_THE_MOON      = ED 01
MUS_THPPZGSK_303B_HISTORY_OF_THE_MOON      = EE 01
MUS_THPPZGSK_304A_INTERDIMENSIONAL_VOYAGE  = EF 01
MUS_THPPZGSK_305A_CANDID_FRIEND            = F0 01
MUS_THPPZGSK_306A_ANCIENT_TEMPLE           = F1 01
MUS_THPPZGSK_306B_ANCIENT_TEMPLE           = F2 01
MUS_THPPZGSK_307A_HEIAN_ALIEN              = F3 01
MUS_THPPZGSK_308A_BELOVED_TOMBOYISH_GIRL   = F4 01
MUS_THPPZGSK_309A_TODAY_WAS_SPECIAL        = F5 01
MUS_THPPZGSK_309B_TODAY_WAS_SPECIAL        = F6 01
MUS_THPPZGSK_313A_THE_UMBRELLA             = F7 01
MUS_THPPZGSK_314A_OLD_WORLD                = F8 01
MUS_THPPZGSK_314B_OLD_WORLD                = F9 01
MUS_THPPZGSK_315A_FLY_ABOVE_HATOYAMA       = FA 01
MUS_THPPZGSK_316A_FLY_ABOVE_HATOYAMA       = FB 01
MUS_THPPZGSK_326A_CITY_OF_FLOWER           = FC 01
MUS_THPPZGSK_326B_CITY_OF_FLOWER           = FD 01
MUS_THPPZGSK_327A_END_OF_DAYLIGHT          = FE 01
MUS_THPPZGSK_330A_INFINITY_NIGHTMARE       = FF 01
MUS_THPPZGSK_331A_HAKUREI_SHRINE_GROUNDS   = 00 02
MUS_THPPZGSK_333A_INNOCENT_TREASURE        = 01 02
MUS_THPPZGSK_333B_INNOCENT_TREASURE        = 02 02
MUS_THPPZGSK_334A_BAD_APPLE                = 03 02
MUS_THPPZGSK_335A_ETERNAL_MIKO             = 04 02
MUS_THPPZGSK_336A_LOST_DREAM               = 05 02
MUS_THPPZGSK_337A_ALICE_IN_WONDERLAND      = 06 02
MUS_THPPZGSK_338A_PHANTOM_ENSEMBLE         = 07 02
MUS_THPPZGSK_340A_CIVILIZATION_OF_MAGIC    = 08 02
MUS_THPPZGSK_341A_NOW_UNTIL_THE_MOMENT_YOU_DIE = 09 02
MUS_THPPZGSK_342A                          = 0A 02
MUS_THPPZGSK_343A_SACRED_LOT               = 0B 02
MUS_THPPZGSK_344A_GREENWICH_IN_THE_SKY     = 0C 02
MUS_THPPZGSK_345A_LEGEND_OF_HOURAI         = 0D 02
MUS_THPPZGSK_347A_WIND_GOD_GIRL            = 0E 02
MUS_THPPZGSK_349A_SHANGHAI_ALICE_OF_MEIJI_17 = 0F 02
MUS_THPPZGSK_350A_SEPTETTE                 = 10 02
MUS_THPPZGSK_350B_SEPTETTE                 = 11 02
MUS_THPPZGSK_351A_LOCKED_GIRL              = 12 02
MUS_THPPZGSK_351B_LOCKED_GIRL              = 13 02
MUS_THPPZGSK_352A_MEGAMARI_OPENING         = 14 02
MUS_THPPZGSK_353A_PHANTOM_ENSEMBLE         = 15 02
MUS_THPPZGSK_354A_PHANTOM_ENSEMBLE         = 16 02
MUS_THPPZGSK_355A_DEEP_MOUNTAIN            = 17 02
MUS_THPPZGSK_355B_DEEP_MOUNTAIN            = 18 02
MUS_THPPZGSK_356A_CANDID_FRIEND            = 19 02
MUS_THPPZGSK_357A_ALICE_IN_WONDERLAND      = 1A 02
MUS_THPPZGSK_358A_WITCHES_BALL             = 1B 02
MUS_THPPZGSK_359A_MEGAMARI_OPENING         = 1C 02
MUS_THPPZGSK_360A_BORDER_OF_LIFE           = 1D 02
MUS_THPPZGSK_361A_GHOSTLY_EYES             = 1E 02
MUS_THPPZGSK_361B_GHOSTLY_EYES             = 1F 02
MUS_THPPZGSK_362A_HISTORY_OF_THE_MOON      = 20 02
MUS_THPPZGSK_362B_HISTORY_OF_THE_MOON      = 21 02
MUS_THPPZGSK_363A_LUNATIC_PRINCESS         = 22 02
MUS_THPPZGSK_364A_FLOWER_LAND              = 23 02
MUS_THPPZGSK_365A_MISSING_POWER            = 24 02
MUS_THPPZGSK_366A_DOLL_JUDGEMENT           = 25 02
MUS_THPPZGSK_367A                          = 26 02
MUS_THPPZGSK_367B                          = 27 02
MUS_THPPZGSK_368A                          = 28 02
MUS_THPPZGSK_369A_FATE_OF_60_YEARS         = 29 02
MUS_THPPZGSK_370A_FATE_OF_60_YEARS         = 2A 02
MUS_THPPZGSK_371A_FAIRY_WARS               = 2B 02
MUS_THPPZGSK_372A_FLOWER_OF_JAPAN          = 2C 02
MUS_THPPZGSK_373A                          = 2D 02
MUS_THPPZGSK_374A_ROMANTIC_FALL            = 2E 02
MUS_THPPZGSK_374B_ROMANTIC_FALL            = 2F 02
MUS_THPPZGSK_375A                          = 30 02
MUS_THPPZGSK_376A_FALL_OF_FALL             = 31 02
MUS_THPPZGSK_377A_MYSTERIOUS_MOUNTAIN      = 32 02
MUS_THPPZGSK_378A_PRIMAL_SCENE             = 33 02
MUS_THPPZGSK_378B_PRIMAL_SCENE             = 34 02
MUS_THPPZGSK_379A_SUWA_FOUGHTEN_FIELD      = 35 02
MUS_THPPZGSK_380A_DARK_BLOWHOLE            = 36 02
MUS_THPPZGSK_380B_DARK_BLOWHOLE            = 37 02
MUS_THPPZGSK_381A_FORMER_HELL              = 38 02
MUS_THPPZGSK_381B_FORMER_HELL              = 39 02
MUS_THPPZGSK_382A_THIRD_EYE                = 3A 02
MUS_THPPZGSK_382B_THIRD_EYE                = 3B 02
MUS_THPPZGSK_383A_NUCLEAR_FUSION           = 3C 02
MUS_THPPZGSK_384A_THE_END_OF_SPRING        = 3D 02
MUS_THPPZGSK_384B_THE_END_OF_SPRING        = 3E 02
MUS_THPPZGSK_385A_FIRE_OF_HOKKAI           = 3F 02
MUS_THPPZGSK_386A_COSMIC_MIND              = 40 02
MUS_THPPZGSK_387A                          = 41 02
MUS_THPPZGSK_387B                          = 42 02
MUS_THPPZGSK_388A                          = 43 02
MUS_THPPZGSK_389A_NECRO_FANTASY            = 44 02
MUS_THPPZGSK_389B_NECRO_FANTASY            = 45 02
MUS_THPPZGSK_392A_LUNA_DIAL                = 46 02
MUS_THPPZGSK_393A_MAGUS_NIGHT              = 47 02
MUS_THPPZGSK_394A_IMPERISHABLE_DREAM_BATTLE = 48 02
MUS_THPPZGSK_399A_MASTER_SPARK             = 49 02
MUS_THPPZGSK_400A_FAITH_IS_FOR_THE_TRANSIENT_PEOPLE = 4A 02
MUS_THPPZGSK_401A_PLASTIC_MIND             = 4B 02
MUS_THPPZGSK_402A_MASTER_SPARK             = 4C 02

A_BUTTON        = F8 00
B_BUTTON        = F8 01
L_BUTTON        = F8 02
R_BUTTON        = F8 03
START_BUTTON    = F8 04
SELECT_BUTTON   = F8 05
DPAD_UP         = F8 06
DPAD_DOWN       = F8 07
DPAD_LEFT       = F8 08
DPAD_RIGHT      = F8 09
DPAD_UPDOWN    = F8 0A
DPAD_LEFTRIGHT = F8 0B
DPAD_ANY        = F8 0C

UP_ARROW_2    = F9 00
DOWN_ARROW_2  = F9 01
LEFT_ARROW_2  = F9 02
RIGHT_ARROW_2 = F9 03
PLUS          = F9 04
LV_2          = F9 05
PP            = F9 06
ID            = F9 07
NO            = F9 08
UNDERSCORE    = F9 09
CIRCLE_1      = F9 0A
CIRCLE_2      = F9 0B
CIRCLE_3      = F9 0C
CIRCLE_4      = F9 0D
CIRCLE_5      = F9 0E
CIRCLE_6      = F9 0F
CIRCLE_7      = F9 10
CIRCLE_8      = F9 11
CIRCLE_9      = F9 12
LEFT_PAREN    = F9 13
RIGHT_PAREN   = F9 14
CIRCLE_DOT    = F9 15
TRIANGLE      = F9 16
BIG_MULT_X    = F9 17

EMOJI_UNDERSCORE = F9 D0
EMOJI_PIPE = F9 D1
EMOJI_HIGHBAR = F9 D2
EMOJI_TILDE = F9 D3
EMOJI_LEFT_PAREN = F9 D4
EMOJI_RIGHT_PAREN = F9 D5
EMOJI_UNION = F9 D6 @ ⊂
EMOJI_GREATER_THAN = F9 D7
EMOJI_LEFT_EYE = F9 D8
EMOJI_RIGHT_EYE = F9 D9
EMOJI_AT = F9 DA
EMOJI_SEMICOLON = F9 DB
EMOJI_PLUS = F9 DC
EMOJI_MINUS = F9 DD
EMOJI_EQUALS = F9 DE
EMOJI_SPIRAL = F9 DF
EMOJI_TONGUE = F9 E0
EMOJI_TRIANGLE_OUTLINE = F9 E1
EMOJI_ACUTE = F9 E2
EMOJI_GRAVE = F9 E3
EMOJI_CIRCLE = F9 E4
EMOJI_TRIANGLE = F9 E5
EMOJI_SQUARE = F9 E6
EMOJI_HEART = F9 E7
EMOJI_MOON = F9 E8
EMOJI_NOTE = F9 E9
EMOJI_BALL = F9 EA
EMOJI_BOLT = F9 EB
EMOJI_LEAF = F9 EC
EMOJI_FIRE = F9 ED
EMOJI_WATER = F9 EE
EMOJI_LEFT_FIST = F9 EF
EMOJI_RIGHT_FIST = F9 F0
EMOJI_BIGWHEEL = F9 F1
EMOJI_SMALLWHEEL = F9 F2
EMOJI_SPHERE = F9 F3
EMOJI_IRRITATED = F9 F4
EMOJI_MISCHIEVOUS = F9 F5
EMOJI_HAPPY = F9 F6
EMOJI_ANGRY = F9 F7
EMOJI_SURPRISED = F9 F8
EMOJI_BIGSMILE = F9 F9
EMOJI_EVIL = F9 FA
EMOJI_TIRED = F9 FB
EMOJI_NEUTRAL = F9 FC
EMOJI_SHOCKED = F9 FD
EMOJI_BIGANGER = F9 FE

'\l' = FA @ scroll up window text
'\p' = FB @ new paragraph
'\n' = FE @ new line
